id,school_name,city,x_frpm,y_greenery_index
43696746101752,Buchser Middle,Santa Clara,0.322,0.3479017792841386
43696746101760,Marian A. Peterson Middle,Sunnyvale,0.22,0.4703112732438128
43696826049068,Argonaut Elementary,Saratoga,0.025,0.4449210163287724
43696826049084,Foothill Elementary,Saratoga,0.09,0.6827732577100165
43696826049092,Redwood Middle,Saratoga,0.025,0.6843195334352833
43696826049100,Saratoga Elementary,Saratoga,0.03,0.6999809748366731
43696906049142,Bishop Elementary,Sunnyvale,0.428,0.5160431263116555
43696906049159,Vargas Elementary,Sunnyvale,0.292,0.5480073544949716
43696906049167,Cherry Chase Elementary,Sunnyvale,0.072,0.4595637079790846
43696906049175,Cumberland Elementary,Sunnyvale,0.0969999999999999,0.4254794326362183
43696906049191,Ellis Elementary,Sunnyvale,0.246,0.4287171622108126
43696906049217,Fairwood Elementary,Sunnyvale,0.231,0.4412091624642757
43696906049233,Lakewood Elementary,Sunnyvale,0.336,0.3869542996101343
43696906049241,Columbia Middle,Sunnyvale,0.303,0.6345265358235896
43696906049258,Sunnyvale Middle,Sunnyvale,0.168,0.6983503643092842
43696906049282,San Miguel Elementary,Sunnyvale,0.311,0.3464790121533234
43697086049290,Alta Vista Elementary,Los Gatos,0.068,0.533650591537914
43697086049316,Carlton Elementary,San Jose,0.053,0.357922112236873
43697086049332,Dartmouth Middle,San Jose,0.174,0.4326230077881777
43697086049357,Guadalupe Elementary,San Jose,0.0819999999999999,0.4566255869923146
43697086049373,Lietz Elementary,San Jose,0.2319999999999999,0.4018635964151136
43697086049407,Noddin Elementary,San Jose,0.152,0.5018144072705394
43697086049415,Oster Elementary,San Jose,0.128,0.3834063238587593
43697086049449,Union Middle,San Jose,0.078,0.3201058127011296
43733870137505,Mabel Mattos Elementary,Milpitas,0.151,0.2728110740962113
43733870140673,Milpitas Middle College High,Milpitas,0.418,0.3637655996168394
43733874334470,Milpitas High,Milpitas,0.44,0.4200568943115172
