id,school_name,city,lat,lon,ndvi_mean,greenery_index_ndvi_nlcd,percent_eligible_frpm_k12,frpm_quartile_label,marker_color
43694926047351,Lakeside Elementary,Los Gatos,37.193221,-122.01823,0.4957504876068123,0.9788330236798344,0.109,0-25%,#3a5e3a
43695006047369,Loma Prieta Elementary,Los Gatos,37.124979,-121.93844,0.598793106504102,1.0,0.135,0-25%,#174417
43695006093058,C. T. English Middle,Los Gatos,37.124979,-121.93844,0.598793106504102,1.0,0.11,0-25%,#174417
43695186047377,Almond Elementary,Los Altos,37.384953,-122.10179,0.3485780292922438,0.6482147751172744,0.1159999999999999,0-25%,#6c846c
43695186047385,Ardis G. Egan Junior High,Los Altos,37.396783,-122.11629,0.340986979261317,0.6473876814049017,0.1009999999999999,0-25%,#6f866f
43695186047401,Covington Elementary,Los Altos,37.370625,-122.10778,0.3131985162732009,0.5528029480581925,0.0819999999999999,0-25%,#788d78
43695186047435,Georgina P. Blach Junior High,Los Altos,37.364574,-122.08286,0.3645824434759652,0.6718581491147755,0.044,0-25%,#678067
43695186047450,Loyola Elementary,Los Altos,37.361368,-122.09337,0.325056445962563,0.6494857967948624,0.027,0-25%,#748a74
43695186047468,Oak Avenue Elementary,Los Altos,37.356799,-122.07143,0.3017911808899028,0.505601528448266,0.027,0-25%,#7c907c
43695186047492,Santa Rita Elementary,Los Altos,37.393933,-122.12132,0.3290525450636163,0.6144003444229784,0.187,0-25%,#738973
43695186047500,Springer Elementary,Mountain View,37.371011,-122.09402,0.3049368402048499,0.5634268181858936,0.049,0-25%,#7b8f7b
43695266047518,Blossom Hill Elementary,Los Gatos,37.234743,-121.95624,0.294497500089376,0.629063892669863,0.07,0-25%,#7f927f
43695266047526,Daves Avenue Elementary,Los Gatos,37.240939,-121.98207,0.4115210706007196,0.8378426862577889,0.053,0-25%,#577457
43695266047534,Lexington Elementary,Los Gatos,37.180458,-121.99249,0.6267053988687659,1.0,0.052,0-25%,#0d3d0d
43695266047542,Louise Van Meter Elementary,Los Gatos,37.230219,-121.96573,0.2594713084728281,0.5270930414354655,0.067,0-25%,#8b9a8b
43695266047567,Raymond J. Fisher Middle,Los Gatos,37.23405,-121.96757,0.1678384643900628,0.3320271736010247,0.0559999999999999,0-25%,#aab2aa
43695344334371,Los Gatos High,Los Gatos,37.221218,-121.97707,0.3821787226724051,0.7102037441261171,0.068,0-25%,#617b61
43695344337762,Saratoga High,Saratoga,37.267304,-122.02871,0.2765810901707532,0.561588092843189,0.034,0-25%,#859685
43695426047575,Luther Burbank Elementary,San Jose,37.323556,-121.9267,0.1329474639927035,0.2752219180771378,0.6970000000000001,50-75%,#b6bbb6
43695750129940,Latimer,San Jose,37.292391,-121.97803,0.2065064902006483,0.3749281775718625,0.475,25-50%,#9da89d
43695756047740,Country Lane Elementary,San Jose,37.298472,-121.99193,0.3129558607399501,0.6147920135155601,0.3,25-50%,#788d78
43695756047765,Easterbrook Discovery,San Jose,37.303397,-121.98663,0.3026367943800109,0.5646879000531273,0.222,0-25%,#7c8f7c
43695756047781,Moreland Middle,San Jose,37.290191,-121.98411,0.2943844822089756,0.4767128924847024,0.3829999999999999,25-50%,#7f927f
43695756047799,George C. Payne Elementary,San Jose,37.297438,-121.96742,0.2946811019522095,0.5725015113864026,0.314,25-50%,#7f927f
43695756047807,Gussie M. Baker Elementary,San Jose,37.283415,-121.98712,0.2866441219733319,0.4685239649173589,0.19,0-25%,#819481
43695756047831,Leroy Anderson Elementary,San Jose,37.30466,-121.9715,0.1854450663998163,0.3349559110802014,0.8540000000000001,75-100%,#a4ada4
43695830102368,Ann Sobrato High,Morgan Hill,37.158768,-121.66775,0.2652279054702744,0.4168841793194682,0.303,25-50%,#899989
43695834333951,Live Oak High,Morgan Hill,37.146484,-121.63401,0.2741038540433178,0.4155320081639821,0.42,25-50%,#869786
43695836047914,Nordstrom Elementary,Morgan Hill,37.134513,-121.62614,0.2159092372048523,0.3524624445569144,0.222,0-25%,#9aa69a
43695836047922,P. A. Walsh STEAM Academy,Morgan Hill,37.12671,-121.66109,0.2418261340826141,0.4761021341205687,0.6940000000000001,50-75%,#919f91
43695836095384,Lewis H. Britton Middle,Morgan Hill,37.131633,-121.65799,0.2320106113513262,0.4464968363484825,0.451,25-50%,#94a194
43695836095392,Los Paseos Elementary,San Jose,37.228983,-121.76739,0.4055458114114312,0.7841124379974665,0.4039999999999999,25-50%,#597559
43695836098263,Jackson Academy of Music and Math (JAMM),Morgan Hill,37.138155,-121.6057,0.2806693136399174,0.4644466560027622,0.259,25-50%,#839583
43695836098271,Paradise Valley Engineering Academy,Morgan Hill,37.104107,-121.64977,0.3376748449984493,0.5324138540092446,0.258,25-50%,#708770
43695836100325,Martin Murphy Middle,San Jose,37.225583,-121.76693,0.3190486736042283,0.5208202269049621,0.455,25-50%,#768b76
43695836109375,El Toro Health Science Academy,Morgan Hill,37.125774,-121.66265,0.3360140494593746,0.5742270957739962,0.351,25-50%,#718771
43695836118376,Barrett Elementary,Morgan Hill,37.122527,-121.63089,0.1469937641752786,0.2675755155698371,0.674,50-75%,#b1b7b1
43695910132373,Gabriela Mistral Elementary,Mountain View,37.394899,-122.09414,0.2466305497005453,0.4525034054723152,0.484,25-50%,#8f9e8f
43695910138750,Jose Antonio Vargas Elementary,Mountain View,37.393904,-122.06109,0.3311747495753033,0.6064856020333479,0.2339999999999999,0-25%,#728872
43695916047955,Benjamin Bubb Elementary,Mountain View,37.379144,-122.08176,0.2971109503313409,0.5769215871926673,0.173,0-25%,#7e917e
